# 白银相关行（来源: 今年以来账单报表0301.pdf）
# 共 895 行（总行数 4997）

p1	期初总览 12,753.09 438,321.72 -23,475.00 1,325.83 71,178.98 0.00 -47.91 0.00 625,056.71
p87	SLV 白银ETF-iShares 100 2026-06-18 67.5 CALL
p87	SLV 白银ETF-iShares 100 2026-03-20 70.0 CALL
p87	SLV 白银ETF-iShares 100 2026-03-20 76.0 CALL
p87	SLV 白银ETF-iShares 100 2026-03-06 60.0 PUT
p87	TEM Tempus AI 100 2026-03-13 60.0 CALL
p87	TER 泰瑞达 100 2026-02-27 280.0 CALL
p87	TER 泰瑞达 100 2026-02-27 250.0 CALL
p87	TER 泰瑞达 100 2026-02-27 245.0 CALL
p87	TSLA 特斯拉 100 2026-02-27 385.0 CALL
p88	TSLA 特斯拉 100 2026-03-06 365.0 PUT
p88	TSLA 特斯拉 100 2026-03-13 370.0 CALL
p88	WGS GeneDx Holdings 100 2026-03-06 75.0 CALL
p88	SIL2603 微白银2603 1,000
p88	SIL2605 微白银2605 1,000
p89	SLV 白银ETF-iShares 1
p90	日期 2026-02-26
p91	/9191日期 2026-02-26
